Date,Open,High,Low,Close,Volume,Adj Close
9/2/97,77,81.44,74.44,80.62,3757100,21.86
8/1/97,80.81,81.37,76,76.81,4315700,20.82
7/1/97,79.75,81.69,73.81,80.81,6230300,21.91
6/2/97,81.88,84.38,78.75,80.25,4553700,21.72
5/1/97,81.75,85.12,79.75,81.88,3670600,22.16
4/1/97,72.88,82.5,70.38,81.75,4579600,22.13
3/3/97,74.25,77.62,71.75,72.88,4049700,19.69
2/3/97,72.88,79.25,72,74.25,4200900,20.06
1/2/97,69.75,74.75,66.38,72.88,5212800,19.69
12/2/96,73.88,74.5,68.87,69.75,4135300,18.81
11/1/96,65.88,77.25,65.12,73.88,4990000,19.93
10/1/96,63.25,66.94,62.5,65.88,3005200,17.77
9/3/96,57,63.88,55.63,63.25,4058700,17.03
8/1/96,56,59.75,56,57,3351600,15.35
7/1/96,62.75,62.75,53.25,55.63,6403400,14.98
6/3/96,60.75,63.75,59.5,62.88,4543800,16.9
5/1/96,61.75,63.25,57.87,60.75,5109600,16.33
4/1/96,64.25,65.63,59.75,62,5777100,16.66
3/1/96,65.5,69.88,63.5,63.88,7389200,17.14
2/1/96,64,66.12,60.62,65.5,5569800,17.57
1/2/96,59.13,64.37,59.13,64.25,4831600,17.24
12/1/95,60.25,63,58.62,58.87,3889000,15.8
11/1/95,57.63,64.25,56.75,60.13,4707700,16.11
10/2/95,57.38,58.25,55.12,57.63,2808500,15.44
9/1/95,56.25,59.13,54.5,57.38,3709400,15.35
8/1/95,59.5,62.88,55.88,56.25,6025800,15.04
7/3/95,55.5,61.38,50.5,58.62,5947100,15.68
6/1/95,55.5,60,55,55.5,3909500,14.82
5/1/95,55.37,55.88,52.75,55.5,3295600,14.82
4/3/95,53.75,56.63,53.75,55.37,3290000,14.79
3/1/95,53.37,56.25,53.13,53.5,4736600,14.26
2/1/95,50.87,54.25,50.62,53.37,4190200,14.23
1/3/95,46,51.38,45,50.87,5388000,13.56
12/1/94,43.5,46.88,42,46,3494400,12.24
11/1/94,39.5,44.5,38.75,43.5,4626900,11.58
10/3/94,38.75,40.13,37.75,39.5,4159900,10.51
